Team,Date,Att,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,Season,game_id
MIN,2018-11-18,39,Sun,10,11,@,CHI,L 20-25,39,148,3.8,0,2018,2018_11_MIN_CHI
BAL,2018-10-21,39,Sun,7,7,,NOR,L 23-24,39,134,3.4,1,2018,2018_07_BAL_NOR
DEN,2018-10-14,39,Sun,6,6,,LAR,L 20-23,39,270,6.9,2,2018,2018_06_DEN_LAR
DAL,2018-09-23,39,Sun,3,3,@,SEA,L 13-24,39,113,2.9,1,2018,2018_03_DAL_SEA
JAX,2017-12-31,39,Sun,16,17,@,TEN,L 10-15,39,116,3.0,0,2017,2017_17_JAX_TEN
SEA,2017-12-10,39,Sun,13,14,@,JAX,L 24-30,39,156,4.0,1,2017,2017_14_SEA_JAX
NYG,2017-11-05,39,Sun,8,9,,LAR,L 17-51,39,162,4.2,2,2017,2017_09_NYG_LAR
WAS,2017-10-29,39,Sun,7,8,,DAL,L 19-33,39,169,4.3,2,2017,2017_08_WAS_DAL
OAK,2017-10-08,39,Sun,5,5,,BAL,L 17-30,39,143,3.7,2,2017,2017_05_OAK_BAL
NYJ,2017-10-01,39,Sun,4,4,,JAX,W 23-20 (OT),39,175,4.5,0,2017,2017_04_NYJ_JAX
NYG,2017-09-24,39,Sun,3,3,@,PHI,L 24-27,39,193,4.9,2,2017,2017_03_NYG_PHI
DAL,2017-09-17,39,Sun,2,2,@,DEN,L 17-42,39,178,4.6,1,2017,2017_02_DAL_DEN
LAR,2017-09-17,39,Sun,2,2,,WAS,L 20-27,39,229,5.9,2,2017,2017_02_LAR_WAS
HOU,2017-09-10,39,Sun,1,1,,JAX,L 7-29,39,155,4.0,1,2017,2017_01_HOU_JAX
CHI,2023-01-08,38,Sun,17,18,,MIN,L 13-29,38,141,3.7,2,2022,2022_18_CHI_MIN
NYJ,2023-01-01,38,Sun,16,17,@,SEA,L 6-23,38,198,5.2,0,2022,2022_17_NYJ_SEA
LAR,2022-12-08,38,Thu,13,14,,LVR,W 17-16,38,165,4.3,1,2022,2022_14_LAR_LVR
HOU,2022-12-04,38,Sun,12,13,,CLE,L 14-27,38,174,4.6,0,2022,2022_13_HOU_CLE
GNB,2022-10-23,38,Sun,7,7,@,WAS,L 21-23,38,166,4.4,0,2022,2022_07_GNB_WAS
DEN,2022-10-02,38,Sun,4,4,@,LVR,L 23-32,38,212,5.6,2,2022,2022_04_DEN_LVR
PIT,2022-09-22,38,Thu,3,3,@,CLE,L 17-29,38,171,4.5,1,2022,2022_03_PIT_CLE
CHI,2022-09-18,38,Sun,2,2,@,GNB,L 10-27,38,203,5.3,1,2022,2022_02_CHI_GNB
