Team,Date,1stDOpp,Day,G#,Week,,Opp,Result,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,Season,game_id
KAN,2018-10-14,31,Sun,6,6,@,NWE,L 40-43,31,15,14,2,13,7,53.8,1,0,0.0,2018,2018_06_KAN_NWE
SFO,2018-09-23,31,Sun,3,3,@,KAN,L 27-38,31,9,15,7,11,7,63.6,1,1,100.0,2018,2018_03_SFO_KAN
BAL,2017-12-10,31,Sun,13,14,@,PIT,L 38-39,31,6,23,2,18,12,66.7,0,0,,2017,2017_14_BAL_PIT
DET,2022-12-24,30,Sat,15,16,@,CAR,L 23-37,30,16,11,3,9,3,33.3,1,1,100.0,2022,2022_16_DET_CAR
CAR,2022-11-06,30,Sun,9,9,@,CIN,L 21-42,30,19,10,1,10,6,60.0,0,0,,2022,2022_09_CAR_CIN
DET,2022-09-25,30,Sun,3,3,@,MIN,L 24-28,30,9,16,5,9,2,22.2,2,1,50.0,2022,2022_03_DET_MIN
CLE,2021-11-14,30,Sun,10,10,@,NWE,L 7-45,30,10,17,3,9,7,77.8,0,0,,2021,2021_10_CLE_NWE
IND,2021-11-04,30,Thu,9,9,,NYJ,W 45-30,30,3,25,2,14,8,57.1,1,1,100.0,2021,2021_09_IND_NYJ
IND,2021-10-11,30,Mon,5,5,@,BAL,L 25-31 (OT),30,7,22,1,8,3,37.5,0,0,,2021,2021_05_IND_BAL
NYJ,2021-10-03,30,Sun,4,4,,TEN,W 27-24 (OT),30,10,17,3,19,5,26.3,3,2,66.7,2021,2021_04_NYJ_TEN
KAN,2021-10-03,30,Sun,4,4,@,PHI,W 42-30,30,9,19,2,12,6,50.0,2,1,50.0,2021,2021_04_KAN_PHI
TAM,2021-09-09,30,Thu,1,1,,DAL,W 31-29,30,4,21,5,17,9,52.9,0,0,,2021,2021_01_TAM_DAL
DET,2020-12-26,30,Sat,15,16,,TAM,L 7-47,30,5,22,3,10,4,40.0,2,1,50.0,2020,2020_16_DET_TAM
