Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Season,game_id
JAX,2022-11-13,315,Sun,10,10,@,KAN,L 17-27,315,61,5.16,62,7.84,0,31:39,2:58,2022,2022_10_JAX_KAN
ATL,2022-11-06,315,Sun,9,9,,LAC,L 17-20,315,60,5.25,67,5.01,2,31:49,2:55,2022,2022_09_ATL_LAC
DAL,2022-10-16,315,Sun,6,6,@,PHI,L 17-26,315,64,4.92,68,3.94,3,25:30,3:03,2022,2022_06_DAL_PHI
ARI,2022-10-16,315,Sun,6,6,@,SEA,L 9-19,315,71,4.44,66,4.48,2,30:44,3:08,2022,2022_06_ARI_SEA
KAN,2022-09-25,315,Sun,3,3,@,IND,L 17-20,315,60,5.25,69,3.75,2,26:28,3:05,2022,2022_03_KAN_IND
GNB,2022-09-25,315,Sun,3,3,@,TAM,W 14-12,315,61,5.16,59,4.83,2,33:25,3:00,2022,2022_03_GNB_TAM
PHI,2022-01-08,315,Sat,17,18,,DAL,L 26-51,315,70,4.50,61,7.79,1,32:23,3:02,2021,2021_18_PHI_DAL
MIA,2021-11-28,315,Sun,12,12,,CAR,W 33-10,315,72,4.38,54,3.67,1,37:34,2:56,2021,2021_12_MIA_CAR
PHI,2020-11-22,315,Sun,10,11,@,CLE,L 17-22,315,65,4.85,65,4.98,3,28:16,3:16,2020,2020_11_PHI_CLE
CIN,2019-12-15,315,Sun,14,15,,NWE,L 13-34,315,63,5.00,63,4.62,5,32:51,3:05,2019,2019_15_CIN_NWE
TAM,2019-12-01,315,Sun,12,13,@,JAX,W 28-11,315,68,4.63,63,3.84,1,33:32,3:20,2019,2019_13_TAM_JAX
LAC,2019-11-07,315,Thu,10,10,@,OAK,L 24-26,315,66,4.77,55,5.05,3,34:10,3:13,2019,2019_10_LAC_OAK
HOU,2018-12-09,315,Sun,13,14,,IND,L 21-24,315,68,4.63,66,6.61,0,31:57,3:10,2018,2018_14_HOU_IND
TAM,2018-12-02,315,Sun,12,13,,CAR,W 24-17,315,59,5.34,65,6.83,1,29:54,3:02,2018,2018_13_TAM_CAR
ARI,2018-12-02,315,Sun,12,13,@,GNB,W 20-17,315,57,5.53,74,4.39,0,27:34,3:10,2018,2018_13_ARI_GNB
NOR,2017-12-24,315,Sun,15,16,,ATL,W 23-13,315,60,5.25,61,5.43,1,33:48,3:05,2017,2017_16_NOR_ATL
LAC,2022-12-26,314,Mon,15,16,@,IND,W 20-3,314,67,4.69,50,3.46,2,33:54,2:48,2022,2022_16_LAC_IND
WAS,2022-11-27,314,Sun,12,12,,ATL,W 19-13,314,60,5.23,55,6.04,1,33:09,2:47,2022,2022_12_WAS_ATL
ARI,2022-11-21,314,Mon,11,11,,SFO,L 10-38,314,71,4.42,57,6.79,2,30:51,2:59,2022,2022_11_ARI_SFO
PHI,2022-11-20,314,Sun,10,11,@,IND,W 17-16,314,61,5.15,62,4.58,2,29:22,2:56,2022,2022_11_PHI_IND
PIT,2022-01-09,314,Sun,17,18,@,BAL,W 16-13 (OT),314,75,4.19,71,5.37,1,36:48,3:30,2021,2021_18_PIT_BAL
BUF,2021-09-19,314,Sun,2,2,@,MIA,W 35-0,314,64,4.91,70,3.09,2,28:26,3:18,2021,2021_02_BUF_MIA
NYG,2021-09-12,314,Sun,1,1,,DEN,L 13-27,314,59,5.32,66,6.36,1,24:52,2:53,2021,2021_01_NYG_DEN
ARI,2020-11-19,314,Thu,10,11,@,SEA,L 21-28,314,63,4.98,62,5.60,0,24:53,3:12,2020,2020_11_ARI_SEA
SEA,2020-10-11,314,Sun,5,5,,MIN,W 27-26,314,52,6.04,83,5.41,1,20:32,3:07,2020,2020_05_SEA_MIN
MIA,2018-11-25,314,Sun,11,12,@,IND,L 24-27,314,51,6.16,65,7.00,1,28:06,2:56,2018,2018_12_MIA_IND
PHI,2023-01-01,313,Sun,16,17,,NOR,L 10-20,313,53,5.91,66,4.74,1,22:56,2:53,2022,2022_17_PHI_NOR
NOR,2023-01-01,313,Sun,16,17,@,PHI,W 20-10,313,66,4.74,53,5.91,1,37:04,2:53,2022,2022_17_NOR_PHI
DEN,2022-11-13,313,Sun,9,10,@,TEN,L 10-17,313,73,4.29,60,5.12,1,33:57,3:20,2022,2022_10_DEN_TEN
DEN,2020-11-15,313,Sun,9,10,@,LVR,L 12-37,313,68,4.60,66,5.41,5,23:22,3:19,2020,2020_10_DEN_LVR
CLE,2019-12-29,313,Sun,16,17,@,CIN,L 23-33,313,53,5.91,68,5.31,3,25:19,3:00,2019,2019_17_CLE_CIN
SFO,2019-12-15,313,Sun,14,15,,ATL,L 22-29,313,62,5.05,61,4.75,2,30:48,3:14,2019,2019_15_SFO_ATL
BUF,2019-10-06,313,Sun,5,5,@,TEN,W 14-7,313,63,4.97,54,4.67,1,31:12,2:54,2019,2019_05_BUF_TEN
DET,2018-12-16,313,Sun,14,15,@,BUF,L 13-14,313,55,5.69,64,4.88,0,28:54,2:58,2018,2018_15_DET_BUF
CIN,2018-12-02,313,Sun,12,13,,DEN,L 10-24,313,64,4.89,57,6.33,3,31:20,3:13,2018,2018_13_CIN_DEN
MIA,2017-11-13,313,Mon,9,10,@,CAR,L 21-45,313,54,5.80,71,7.72,1,24:21,3:05,2017,2017_10_MIA_CAR
JAX,2017-10-08,313,Sun,5,5,@,PIT,W 30-9,313,53,5.91,77,4.82,1,28:52,3:01,2017,2017_05_JAX_PIT
TEN,2023-01-07,312,Sat,17,18,@,JAX,L 16-20,312,72,4.33,47,4.72,2,36:12,2:54,2022,2022_18_TEN_JAX
DET,2022-10-23,312,Sun,6,7,@,DAL,L 6-24,312,56,5.57,59,5.59,5,31:14,2:48,2022,2022_07_DET_DAL
DET,2022-10-09,312,Sun,5,5,@,NWE,L 0-29,312,64,4.88,56,6.50,2,28:31,2:55,2022,2022_05_DET_NWE
LAC,2022-09-25,312,Sun,3,3,,JAX,L 10-38,312,58,5.38,75,5.51,2,21:33,2:59,2022,2022_03_LAC_JAX
WAS,2022-01-02,312,Sun,16,17,,PHI,L 16-20,312,61,5.11,61,5.41,1,27:51,2:46,2021,2021_17_WAS_PHI
BUF,2021-12-19,312,Sun,14,15,,CAR,W 31-14,312,65,4.80,71,3.87,1,28:35,3:11,2021,2021_15_BUF_CAR
MIA,2020-11-08,312,Sun,8,9,@,ARI,W 34-31,312,56,5.57,64,6.91,0,28:57,3:09,2020,2020_09_MIA_ARI
DET,2019-11-17,312,Sun,10,11,,DAL,L 27-35,312,57,5.47,71,7.17,0,29:06,3:14,2019,2019_11_DET_DAL
GNB,2019-09-22,312,Sun,3,3,,DEN,W 27-16,312,52,6.00,73,4.25,0,24:26,2:58,2019,2019_03_GNB_DEN
BUF,2018-12-16,312,Sun,14,15,,DET,W 14-13,312,64,4.88,55,5.69,0,31:06,2:58,2018,2018_15_BUF_DET
NOR,2018-11-22,312,Thu,11,12,,ATL,W 31-17,312,55,5.67,69,5.30,1,29:01,2:55,2018,2018_12_NOR_ATL
BAL,2017-12-31,312,Sun,16,17,,CIN,L 27-31,312,74,4.22,75,4.79,1,31:21,3:33,2017,2017_17_BAL_CIN
BUF,2017-12-31,312,Sun,16,17,@,MIA,W 22-16,312,63,4.95,67,5.31,0,31:04,3:15,2017,2017_17_BUF_MIA
MIN,2017-12-03,312,Sun,12,13,@,ATL,W 14-9,312,63,4.95,51,5.39,0,34:02,2:44,2017,2017_13_MIN_ATL
SEA,2017-09-17,312,Sun,2,2,,SFO,W 12-9,312,79,3.95,48,5.17,0,36:58,3:00,2017,2017_02_SEA_SFO
SFO,2023-01-08,311,Sun,17,18,,ARI,W 38-13,311,61,5.10,50,5.10,0,34:14,2:52,2022,2022_18_SFO_ARI
LAC,2022-11-27,311,Sun,11,12,@,ARI,W 25-24,311,64,4.86,64,5.72,0,29:25,3:08,2022,2022_12_LAC_ARI
GNB,2021-12-25,311,Sat,15,16,,CLE,W 24-22,311,58,5.36,66,6.18,0,28:19,2:54,2021,2021_16_GNB_CLE
BUF,2021-11-21,311,Sun,10,11,,IND,L 15-41,311,54,5.76,66,5.61,4,22:13,2:58,2021,2021_11_BUF_IND
CHI,2021-10-24,311,Sun,7,7,@,TAM,L 3-38,311,65,4.78,70,5.83,5,28:55,2:56,2021,2021_07_CHI_TAM
LAR,2020-10-18,311,Sun,6,6,@,SFO,L 16-24,311,57,5.46,70,5.57,1,22:05,3:04,2020,2020_06_LAR_SFO
DAL,2019-12-22,311,Sun,15,16,@,PHI,L 9-17,311,62,5.02,71,6.07,1,23:48,3:08,2019,2019_16_DAL_PHI
WAS,2019-10-13,311,Sun,6,6,@,MIA,W 17-16,311,58,5.36,69,3.93,0,27:21,3:09,2019,2019_06_WAS_MIA
TAM,2018-09-30,311,Sun,4,4,@,CHI,L 10-48,311,60,5.18,58,8.33,3,31:54,2:57,2018,2018_04_TAM_CHI
HOU,2017-12-10,311,Sun,13,14,,SFO,L 16-26,311,64,4.86,66,6.30,1,25:11,3:19,2017,2017_14_HOU_SFO
GNB,2017-11-06,311,Mon,8,9,,DET,L 17-30,311,58,5.36,67,6.22,0,23:05,2:45,2017,2017_09_GNB_DET
JAX,2017-10-01,311,Sun,4,4,@,NYJ,L 20-23 (OT),311,75,4.15,69,6.83,1,35:08,3:33,2017,2017_04_JAX_NYJ
KAN,2017-09-24,311,Sun,3,3,@,LAC,W 24-10,311,51,6.10,68,4.85,0,30:26,3:08,2017,2017_03_KAN_LAC
TAM,2017-09-17,311,Sun,1,2,,CHI,W 29-7,311,67,4.64,62,5.00,1,33:11,2:55,2017,2017_02_TAM_CHI
NYJ,2022-11-06,310,Sun,9,9,,BUF,W 20-17,310,61,5.08,61,5.20,1,32:44,3:04,2022,2022_09_NYJ_BUF
LVR,2021-12-05,310,Sun,12,13,,WAS,L 15-17,310,56,5.54,61,4.89,0,26:17,3:01,2021,2021_13_LVR_WAS
TAM,2020-09-13,310,Sun,1,1,@,NOR,L 23-34,310,65,4.77,66,4.11,3,28:37,3:21,2020,2020_01_TAM_NOR
NYJ,2019-12-12,310,Thu,14,15,@,BAL,L 21-42,310,57,5.44,59,7.29,2,28:22,3:00,2019,2019_15_NYJ_BAL
KAN,2019-11-18,310,Mon,11,11,@,LAC,W 24-17,310,60,5.17,73,6.00,1,28:58,3:22,2019,2019_11_KAN_LAC
NOR,2019-11-10,310,Sun,9,10,,ATL,L 9-26,310,63,4.92,70,4.53,0,26:14,3:10,2019,2019_10_NOR_ATL
CLE,2019-10-27,310,Sun,7,8,@,NWE,L 13-27,310,58,5.34,66,4.82,3,27:45,3:11,2019,2019_08_CLE_NWE
DEN,2019-09-22,310,Sun,3,3,@,GNB,L 16-27,310,73,4.25,52,6.00,3,35:34,2:58,2019,2019_03_DEN_GNB
DET,2018-12-02,310,Sun,12,13,,LAR,L 16-30,310,64,4.84,64,5.38,2,31:44,3:14,2018,2018_13_DET_LAR
SEA,2017-12-03,310,Sun,12,13,,PHI,W 24-10,310,58,5.34,74,5.74,0,28:06,3:03,2017,2017_13_SEA_PHI
PHI,2017-10-12,310,Thu,6,6,@,CAR,W 28-23,310,60,5.17,79,3.86,1,28:34,3:20,2017,2017_06_PHI_CAR
JAX,2017-09-17,310,Sun,2,2,,TEN,L 16-37,310,61,5.08,64,6.09,3,29:14,3:02,2017,2017_02_JAX_TEN
CHI,2017-09-17,310,Sun,2,2,@,TAM,L 7-29,310,62,5.00,67,4.64,4,26:49,2:55,2017,2017_02_CHI_TAM
WAS,2023-01-08,309,Sun,17,18,,DAL,W 26-6,309,63,4.90,66,2.76,1,36:12,3:03,2022,2022_18_WAS_DAL
NYJ,2022-12-11,309,Sun,13,14,@,BUF,L 12-20,309,73,4.23,54,4.30,2,34:25,3:06,2022,2022_14_NYJ_BUF
BAL,2022-12-11,309,Sun,13,14,@,PIT,W 16-14,309,61,5.07,53,6.21,0,32:59,2:46,2022,2022_14_BAL_PIT
IND,2022-12-04,309,Sun,13,13,@,DAL,L 19-54,309,70,4.41,65,5.92,5,31:19,3:07,2022,2022_13_IND_DAL
LVR,2022-11-13,309,Sun,9,10,,IND,L 20-25,309,64,4.83,59,7.03,0,30:59,3:02,2022,2022_10_LVR_IND
JAX,2021-10-31,309,Sun,7,8,@,SEA,L 7-31,309,74,4.18,52,4.40,1,31:29,2:55,2021,2021_08_JAX_SEA
SEA,2021-10-17,309,Sun,6,6,@,PIT,L 20-23 (OT),309,64,4.83,71,4.86,1,29:37,3:40,2021,2021_06_SEA_PIT
CIN,2020-12-13,309,Sun,13,14,,DAL,L 7-30,309,70,4.41,50,5.44,3,34:41,2:46,2020,2020_14_CIN_DAL
LVR,2020-11-01,309,Sun,7,8,@,CLE,W 16-6,309,71,4.35,47,4.74,0,37:43,2:51,2020,2020_08_LVR_CLE
WAS,2020-09-27,309,Sun,3,3,@,CLE,L 20-34,309,62,4.98,62,4.84,5,26:23,2:52,2020,2020_03_WAS_CLE
BUF,2019-12-29,309,Sun,16,17,,NYJ,L 6-13,309,61,5.07,65,4.17,3,28:39,3:01,2019,2019_17_BUF_NYJ
IND,2019-12-08,309,Sun,13,14,@,TAM,L 35-38,309,59,5.24,78,6.95,1,25:45,3:14,2019,2019_14_IND_TAM
KAN,2019-10-13,309,Sun,6,6,,HOU,L 24-31,309,47,6.57,83,5.69,2,20:12,3:07,2019,2019_06_KAN_HOU
CLE,2018-12-15,309,Sat,14,15,@,DEN,W 17-16,309,61,5.07,70,3.86,2,27:18,3:06,2018,2018_15_CLE_DEN
DET,2018-11-18,309,Sun,10,11,,CAR,W 20-19,309,64,4.83,57,6.79,0,31:40,2:57,2018,2018_11_DET_CAR
DEN,2018-10-18,309,Thu,7,7,@,ARI,W 45-10,309,55,5.62,66,3.38,1,30:49,3:04,2018,2018_07_DEN_ARI
LVR,2022-12-18,308,Sun,14,15,,NWE,W 30-24,308,64,4.81,63,5.05,1,33:16,3:19,2022,2022_15_LVR_NWE
MIA,2022-12-04,308,Sun,12,13,@,SFO,L 17-33,308,45,6.84,79,4.44,4,19:26,3:14,2022,2022_13_MIA_SFO
BAL,2022-11-20,308,Sun,10,11,,CAR,W 13-3,308,66,4.67,54,3.80,1,33:14,3:12,2022,2022_11_BAL_CAR
CAR,2022-10-09,308,Sun,5,5,,SFO,L 15-37,308,65,4.74,61,6.51,1,29:42,3:07,2022,2022_05_CAR_SFO
PIT,2022-09-22,308,Thu,3,3,@,CLE,L 17-29,308,55,5.60,71,5.30,1,23:51,3:10,2022,2022_03_PIT_CLE
NOR,2022-09-18,308,Sun,2,2,,TAM,L 10-20,308,66,4.67,65,4.00,5,30:18,3:11,2022,2022_02_NOR_TAM
TEN,2022-01-02,308,Sun,16,17,,MIA,W 34-3,308,59,5.22,59,4.34,0,33:12,2:59,2021,2021_17_TEN_MIA
NWE,2021-11-18,308,Thu,11,11,@,ATL,W 25-0,308,59,5.22,52,3.17,1,32:43,2:50,2021,2021_11_NWE_ATL
DEN,2021-11-14,308,Sun,10,10,,PHI,L 13-30,308,55,5.60,64,6.03,1,25:02,3:01,2021,2021_10_DEN_PHI
LAR,2020-11-29,308,Sun,11,12,,SFO,L 20-23,308,61,5.05,70,4.93,4,25:57,3:11,2020,2020_12_LAR_SFO
NWE,2020-11-15,308,Sun,9,10,,BAL,W 23-17,308,58,5.31,64,5.58,0,27:26,2:53,2020,2020_10_NWE_BAL
IND,2020-10-11,308,Sun,5,5,@,CLE,L 23-32,308,52,5.92,72,5.35,2,25:15,3:05,2020,2020_05_IND_CLE
SEA,2019-12-08,308,Sun,13,14,@,LAR,L 12-28,308,62,4.97,67,6.79,1,28:56,3:01,2019,2019_14_SEA_LAR
JAX,2019-11-17,308,Sun,10,11,@,IND,L 13-33,308,58,5.31,63,6.17,1,26:08,3:00,2019,2019_11_JAX_IND
MIN,2019-11-03,308,Sun,9,9,@,KAN,L 23-26,308,66,4.67,58,6.50,0,28:12,3:07,2019,2019_09_MIN_KAN
PIT,2019-09-08,308,Sun,1,1,@,NWE,L 3-33,308,61,5.05,67,6.94,1,27:27,3:00,2019,2019_01_PIT_NWE
DAL,2018-11-29,308,Thu,12,13,,NOR,W 13-10,308,66,4.67,49,3.59,2,36:53,2:58,2018,2018_13_DAL_NOR
DEN,2018-11-25,308,Sun,11,12,,PIT,W 24-17,308,53,5.81,76,6.93,0,25:00,3:03,2018,2018_12_DEN_PIT
CHI,2018-11-18,308,Sun,10,11,,MIN,W 25-20,308,71,4.34,62,4.32,3,34:29,3:03,2018,2018_11_CHI_MIN
CIN,2017-11-12,308,Sun,9,10,@,TEN,L 20-24,308,50,6.16,84,4.95,2,19:51,3:17,2017,2017_10_CIN_TEN
CHI,2017-09-28,308,Thu,4,4,@,GNB,L 14-35,308,64,4.81,53,4.91,4,31:51,3:52,2017,2017_04_CHI_GNB
ARI,2017-09-10,308,Sun,1,1,@,DET,L 23-35,308,67,4.60,69,5.32,4,26:40,3:26,2017,2017_01_ARI_DET
CLE,2023-01-08,307,Sun,17,18,@,PIT,L 14-28,307,58,5.29,67,4.97,2,29:04,3:04,2022,2022_18_CLE_PIT
DEN,2023-01-01,307,Sun,16,17,@,KAN,L 24-27,307,66,4.65,58,6.45,2,33:06,3:04,2022,2022_17_DEN_KAN
TEN,2022-11-13,307,Sun,9,10,,DEN,W 17-10,307,60,5.12,73,4.29,1,26:03,3:20,2022,2022_10_TEN_DEN
MIA,2022-09-11,307,Sun,1,1,,NWE,W 20-7,307,59,5.20,54,5.02,0,32:30,2:50,2022,2022_01_MIA_NWE
IND,2021-10-31,307,Sun,8,8,,TEN,L 31-34 (OT),307,72,4.26,68,5.00,3,30:58,3:33,2021,2021_08_IND_TEN
DAL,2021-01-03,307,Sun,16,17,@,NYG,L 19-23,307,80,3.84,55,6.11,1,32:33,3:15,2020,2020_17_DAL_NYG
DET,2020-09-20,307,Sun,2,2,@,GNB,L 21-42,307,58,5.29,66,7.39,1,25:14,3:07,2020,2020_02_DET_GNB
CIN,2019-11-10,307,Sun,9,10,,BAL,L 13-49,307,72,4.26,46,8.24,3,36:11,2:50,2019,2019_10_CIN_BAL
OAK,2019-09-15,307,Sun,2,2,,KAN,L 10-28,307,60,5.12,68,6.87,2,27:25,3:12,2019,2019_02_OAK_KAN
LAC,2017-12-16,307,Sat,14,15,@,KAN,L 13-30,307,60,5.12,63,6.30,4,26:39,3:09,2017,2017_15_LAC_KAN
LAR,2017-12-10,307,Sun,13,14,,PHI,L 35-43,307,45,6.82,85,5.35,2,20:48,3:33,2017,2017_14_LAR_PHI
GNB,2017-11-26,307,Sun,11,12,@,PIT,L 28-31,307,54,5.69,70,6.60,0,26:24,3:04,2017,2017_12_GNB_PIT
BUF,2017-11-02,307,Thu,8,9,@,NYJ,L 21-34,307,69,4.45,62,5.34,3,26:30,3:20,2017,2017_09_BUF_NYJ
CHI,2017-10-29,307,Sun,8,8,@,NOR,L 12-20,307,65,4.72,60,6.45,1,28:37,3:08,2017,2017_08_CHI_NOR
DAL,2017-10-29,307,Sun,7,8,@,WAS,W 33-19,307,63,4.87,58,4.91,1,33:19,3:11,2017,2017_08_DAL_WAS
ARI,2017-10-08,307,Sun,5,5,@,PHI,L 7-34,307,60,5.12,64,6.55,1,24:13,2:57,2017,2017_05_ARI_PHI
ATL,2022-12-04,306,Sun,13,13,,PIT,L 16-19,306,53,5.77,65,5.40,1,27:05,2:52,2022,2022_13_ATL_PIT
IND,2022-10-06,306,Thu,5,5,@,DEN,W 12-9 (OT),306,73,4.19,71,5.28,2,34:48,3:30,2022,2022_05_IND_DEN
DET,2021-11-14,306,Sun,9,10,@,PIT,T 16-16 (OT),306,68,4.50,81,4.78,0,33:12,3:40,2021,2021_10_DET_PIT
CLE,2021-10-31,306,Sun,8,8,,PIT,L 10-15,306,58,5.28,69,5.36,1,28:15,3:01,2021,2021_08_CLE_PIT
CAR,2021-10-17,306,Sun,6,6,,MIN,L 28-34 (OT),306,68,4.50,84,6.80,3,26:34,3:41,2021,2021_06_CAR_MIN
SFO,2021-09-19,306,Sun,2,2,@,PHI,W 17-11,306,68,4.50,55,5.96,0,34:54,3:01,2021,2021_02_SFO_PHI
BAL,2020-11-22,306,Sun,10,11,,TEN,L 24-30 (OT),306,63,4.86,68,6.22,1,31:06,3:13,2020,2020_11_BAL_TEN
CLE,2020-09-13,306,Sun,1,1,@,BAL,L 6-38,306,68,4.50,58,6.57,3,30:02,3:01,2020,2020_01_CLE_BAL
LAR,2019-11-10,306,Sun,9,10,@,PIT,L 12-17,306,69,4.43,68,4.01,4,28:20,3:32,2019,2019_10_LAR_PIT
CIN,2019-09-22,306,Sun,3,3,@,BUF,L 17-21,306,57,5.37,73,5.70,4,23:06,3:15,2019,2019_03_CIN_BUF
SEA,2018-09-09,306,Sun,1,1,@,DEN,L 24-27,306,55,5.56,72,6.53,3,24:52,3:06,2018,2018_01_SEA_DEN
NOR,2017-12-07,306,Thu,13,14,@,ATL,L 17-20,306,52,5.88,65,5.28,1,25:19,3:00,2017,2017_14_NOR_ATL
CHI,2017-09-24,306,Sun,3,3,,PIT,W 23-17 (OT),306,62,4.94,59,4.78,2,33:59,3:21,2017,2017_03_CHI_PIT
JAX,2022-10-30,305,Sun,8,8,,DEN,L 17-21,305,65,4.69,61,5.43,2,34:04,2:58,2022,2022_08_JAX_DEN
ARI,2022-01-09,305,Sun,17,18,,SEA,L 30-38,305,72,4.24,57,7.56,1,35:49,3:09,2021,2021_18_ARI_SEA
DET,2019-12-29,305,Sun,16,17,,GNB,L 20-23,305,56,5.45,86,5.02,1,25:04,3:20,2019,2019_17_DET_GNB
BUF,2019-10-20,305,Sun,6,7,,MIA,W 31-21,305,51,5.98,66,5.77,0,26:29,3:00,2019,2019_07_BUF_MIA
DET,2018-11-11,305,Sun,9,10,@,CHI,L 22-34,305,72,4.24,53,7.58,3,32:00,3:13,2018,2018_10_DET_CHI
WAS,2018-10-21,305,Sun,6,7,,DAL,W 20-17,305,58,5.26,61,5.30,0,30:55,3:05,2018,2018_07_WAS_DAL
CLE,2018-10-21,305,Sun,7,7,@,TAM,L 23-26 (OT),305,62,4.92,88,5.18,1,30:27,3:40,2018,2018_07_CLE_TAM
JAX,2018-09-09,305,Sun,1,1,@,NYG,W 20-15,305,62,4.92,62,5.23,1,29:31,3:04,2018,2018_01_JAX_NYG
ARI,2017-12-03,305,Sun,12,13,,LAR,L 16-32,305,63,4.84,56,5.41,2,31:02,3:03,2017,2017_13_ARI_LAR
CAR,2017-10-12,305,Thu,6,6,,PHI,L 23-28,305,79,3.86,60,5.17,3,31:26,3:20,2017,2017_06_CAR_PHI
SFO,2017-10-01,305,Sun,4,4,@,ARI,L 15-18 (OT),305,79,3.86,79,4.66,1,33:13,3:40,2017,2017_04_SFO_ARI
NOR,2023-01-08,304,Sun,17,18,,CAR,L 7-10,304,58,5.24,58,3.50,1,29:05,2:43,2022,2022_18_NOR_CAR
NYG,2022-12-11,304,Sun,13,14,,PHI,L 22-48,304,63,4.83,66,6.62,1,27:30,3:00,2022,2022_14_NYG_PHI
CLE,2022-12-04,304,Sun,12,13,@,HOU,W 27-14,304,61,4.98,61,4.64,2,32:16,3:11,2022,2022_13_CLE_HOU
TAM,2022-10-16,304,Sun,6,6,@,PIT,L 18-20,304,68,4.47,61,4.43,0,30:01,3:05,2022,2022_06_TAM_PIT
CHI,2022-10-02,304,Sun,4,4,@,NYG,L 12-20,304,60,5.07,61,5.46,3,28:43,2:59,2022,2022_04_CHI_NYG
BAL,2021-11-11,304,Thu,9,10,@,MIA,L 10-22,304,70,4.34,62,5.65,2,31:48,3:24,2021,2021_10_BAL_MIA
NOR,2021-10-25,304,Mon,6,7,@,SEA,W 13-10,304,68,4.47,55,3.98,1,32:49,3:03,2021,2021_07_NOR_SEA
GNB,2021-10-24,304,Sun,7,7,,WAS,W 24-10,304,53,5.74,70,6.14,1,27:06,3:07,2021,2021_07_GNB_WAS
ARI,2021-10-10,304,Sun,5,5,,SFO,W 17-10,304,60,5.07,59,5.73,1,28:06,3:03,2021,2021_05_ARI_SFO
ATL,2020-11-29,304,Sun,11,12,,LVR,W 43-6,304,72,4.22,58,4.19,1,34:58,3:30,2020,2020_12_ATL_LVR
CAR,2020-10-29,304,Thu,8,8,,ATL,L 17-25,304,52,5.85,68,5.90,1,23:30,3:04,2020,2020_08_CAR_ATL
CIN,2020-09-27,304,Sun,3,3,@,PHI,T 23-23 (OT),304,70,4.34,86,4.40,0,32:16,3:48,2020,2020_03_CIN_PHI
CHI,2020-09-20,304,Sun,2,2,,NYG,W 17-13,304,64,4.75,62,4.76,2,34:29,3:01,2020,2020_02_CHI_NYG
HOU,2020-09-20,304,Sun,2,2,,BAL,L 16-33,304,57,5.33,65,6.26,2,25:09,2:55,2020,2020_02_HOU_BAL
BAL,2019-12-29,304,Sun,16,17,,PIT,W 28-10,304,68,4.47,50,3.36,2,39:27,3:02,2019,2019_17_BAL_PIT
PHI,2017-10-29,304,Sun,8,8,,SFO,W 33-10,304,66,4.61,64,3.72,1,32:57,3:04,2017,2017_08_PHI_SFO
HOU,2022-11-03,303,Thu,8,9,,PHI,L 17-29,303,57,5.32,62,5.81,2,31:47,2:50,2022,2022_09_HOU_PHI
PIT,2021-12-26,303,Sun,15,16,@,KAN,L 10-36,303,70,4.33,67,5.69,3,25:18,2:58,2021,2021_16_PIT_KAN
BAL,2021-11-28,303,Sun,11,12,,CLE,W 16-10,303,77,3.94,57,4.60,4,37:04,3:14,2021,2021_12_BAL_CLE
NWE,2020-12-20,303,Sun,14,15,@,MIA,L 12-22,303,52,5.83,70,5.47,1,22:34,2:57,2020,2020_15_NWE_MIA
LAR,2020-12-20,303,Sun,14,15,,NYJ,L 20-23,303,56,5.41,64,4.52,1,25:45,2:56,2020,2020_15_LAR_NYJ
TAM,2020-12-13,303,Sun,13,14,,MIN,W 26-14,303,49,6.18,76,4.41,0,20:57,2:53,2020,2020_14_TAM_MIN
CAR,2020-10-18,303,Sun,6,6,,CHI,L 16-23,303,62,4.89,64,4.08,3,31:06,3:08,2020,2020_06_CAR_CHI
MIA,2019-11-17,303,Sun,10,11,,BUF,L 20-37,303,65,4.66,67,6.33,1,29:51,3:20,2019,2019_11_MIA_BUF
NYG,2018-10-28,303,Sun,8,8,,WAS,L 13-20,303,68,4.46,65,5.54,2,26:22,3:13,2018,2018_08_NYG_WAS
BUF,2018-10-21,303,Sun,7,7,@,IND,L 5-37,303,55,5.51,60,6.27,5,26:41,2:54,2018,2018_07_BUF_IND
DAL,2018-09-23,303,Sun,3,3,@,SEA,L 13-24,303,58,5.22,67,4.40,3,27:16,3:03,2018,2018_03_DAL_SEA
LAR,2017-12-03,303,Sun,12,13,@,ARI,W 32-16,303,56,5.41,63,4.84,1,28:58,3:03,2017,2017_13_LAR_ARI
HOU,2017-11-27,303,Mon,11,12,@,BAL,L 16-23,303,64,4.73,65,4.52,3,30:16,3:06,2017,2017_12_HOU_BAL
MIA,2023-01-08,302,Sun,17,18,,NYJ,W 11-6,302,64,4.72,53,3.53,0,35:25,2:59,2022,2022_18_MIA_NYJ
LVR,2022-12-08,302,Thu,13,14,@,LAR,L 16-17,302,58,5.21,61,4.62,2,30:21,3:03,2022,2022_14_LVR_LAR
PIT,2022-10-30,302,Sun,8,8,@,PHI,L 13-35,302,70,4.31,53,7.57,2,34:18,2:54,2022,2022_08_PIT_PHI
NYG,2021-12-19,302,Sun,14,15,,DAL,L 6-21,302,61,4.95,70,4.69,4,26:37,3:04,2021,2021_15_NYG_DAL
TAM,2021-12-19,302,Sun,14,15,,NOR,L 0-9,302,73,4.14,60,3.53,2,30:15,2:54,2021,2021_15_TAM_NOR
