Team,Date,Pts,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC,Season,game_id
ATL,2018-11-04,38,Sun,8,9,@,WAS,W 38-14,38,14,24,52,2018,2018_09_ATL_WAS
NWE,2018-10-21,38,Sun,7,7,@,CHI,W 38-31,38,31,7,69,2018,2018_07_NWE_CHI
LAC,2018-10-14,38,Sun,6,6,@,CLE,W 38-14,38,14,24,52,2018,2018_06_LAC_CLE
NWE,2018-10-04,38,Thu,5,5,,IND,W 38-24,38,24,14,62,2018,2018_05_NWE_IND
NWE,2018-09-30,38,Sun,4,4,,MIA,W 38-7,38,7,31,45,2018,2018_04_NWE_MIA
LAR,2018-09-27,38,Thu,4,4,,MIN,W 38-31,38,31,7,69,2018,2018_04_LAR_MIN
KAN,2018-09-23,38,Sun,3,3,,SFO,W 38-27,38,27,11,65,2018,2018_03_KAN_SFO
KAN,2018-09-09,38,Sun,1,1,@,LAC,W 38-28,38,28,10,66,2018,2018_01_KAN_LAC
BAL,2017-12-10,38,Sun,13,14,@,PIT,L 38-39,38,39,-1,77,2017,2017_14_BAL_PIT
NYJ,2017-12-03,38,Sun,12,13,,KAN,W 38-31,38,31,7,69,2017,2017_13_NYJ_KAN
DAL,2017-11-30,38,Thu,12,13,,WAS,W 38-14,38,14,24,52,2017,2017_13_DAL_WAS
DET,2017-11-12,38,Sun,9,10,,CLE,W 38-24,38,24,14,62,2017,2017_10_DET_CLE
MIN,2017-11-12,38,Sun,9,10,@,WAS,W 38-30,38,30,8,68,2017,2017_10_MIN_WAS
HOU,2017-10-29,38,Sun,7,8,@,SEA,L 38-41,38,41,-3,79,2017,2017_08_HOU_SEA
DET,2017-10-15,38,Sun,6,6,@,NOR,L 38-52,38,52,-14,90,2017,2017_06_DET_NOR
ARI,2017-10-15,38,Sun,6,6,,TAM,W 38-33,38,33,5,71,2017,2017_06_ARI_TAM
SFO,2023-01-01,37,Sun,16,17,@,LVR,W 37-34 (OT),37,34,3,71,2022,2022_17_SFO_LVR
SFO,2022-12-24,37,Sat,15,16,,WAS,W 37-20,37,20,17,57,2022,2022_16_SFO_WAS
CAR,2022-12-24,37,Sat,15,16,,DET,W 37-23,37,23,14,60,2022,2022_16_CAR_DET
CIN,2022-11-20,37,Sun,10,11,@,PIT,W 37-30,37,30,7,67,2022,2022_11_CIN_PIT
ATL,2022-10-30,37,Sun,8,8,,CAR,W 37-34 (OT),37,34,3,71,2022,2022_08_ATL_CAR
SEA,2022-10-23,37,Sun,7,7,@,LAC,W 37-23,37,23,14,60,2022,2022_07_SEA_LAC
SFO,2022-10-09,37,Sun,5,5,@,CAR,W 37-15,37,15,22,52,2022,2022_05_SFO_CAR
BAL,2022-09-25,37,Sun,3,3,@,NWE,W 37-26,37,26,11,63,2022,2022_03_BAL_NWE
DET,2022-01-09,37,Sun,17,18,,GNB,W 37-30,37,30,7,67,2021,2021_18_DET_GNB
GNB,2022-01-02,37,Sun,16,17,,MIN,W 37-10,37,10,27,47,2021,2021_17_GNB_MIN
LAC,2021-12-12,37,Sun,13,14,,NYG,W 37-21,37,21,16,58,2021,2021_14_LAC_NYG
LAR,2021-12-05,37,Sun,12,13,,JAX,W 37-7,37,7,30,44,2021,2021_13_LAR_JAX
PIT,2021-11-21,37,Sun,10,11,@,LAC,L 37-41,37,41,-4,78,2021,2021_11_PIT_LAC
ARI,2021-10-17,37,Sun,6,6,@,CLE,W 37-14,37,14,23,51,2021,2021_06_ARI_CLE
TEN,2021-10-10,37,Sun,5,5,@,JAX,W 37-19,37,19,18,56,2021,2021_05_TEN_JAX
ARI,2021-10-03,37,Sun,4,4,@,LAR,W 37-20,37,20,17,57,2021,2021_04_ARI_LAR
HOU,2021-09-12,37,Sun,1,1,,JAX,W 37-21,37,21,16,58,2021,2021_01_HOU_JAX
MIN,2021-01-03,37,Sun,16,17,@,DET,W 37-35,37,35,2,72,2020,2020_17_MIN_DET
DAL,2020-12-27,37,Sun,15,16,,PHI,W 37-17,37,17,20,54,2020,2020_16_DAL_PHI
CIN,2020-12-27,37,Sun,15,16,@,HOU,W 37-31,37,31,6,68,2020,2020_16_CIN_HOU
LVR,2020-11-15,37,Sun,9,10,,DEN,W 37-12,37,12,25,49,2020,2020_10_LVR_DEN
SEA,2020-11-01,37,Sun,7,8,,SFO,W 37-27,37,27,10,64,2020,2020_08_SEA_SFO
ARI,2020-10-25,37,Sun,7,7,,SEA,W 37-34 (OT),37,34,3,71,2020,2020_07_ARI_SEA
CLE,2020-10-25,37,Sun,7,7,@,CIN,W 37-34,37,34,3,71,2020,2020_07_CLE_CIN
DAL,2020-10-11,37,Sun,5,5,,NYG,W 37-34,37,34,3,71,2020,2020_05_DAL_NYG
DEN,2020-10-01,37,Thu,4,4,@,NYJ,W 37-28,37,28,9,65,2020,2020_04_DEN_NYJ
GNB,2020-09-27,37,Sun,3,3,@,NOR,W 37-30,37,30,7,67,2020,2020_03_GNB_NOR
LAR,2020-09-20,37,Sun,2,2,@,PHI,W 37-19,37,19,18,56,2020,2020_02_LAR_PHI
PHI,2019-12-15,37,Sun,14,15,@,WAS,W 37-27,37,27,10,64,2019,2019_15_PHI_WAS
SEA,2019-12-02,37,Mon,12,13,,MIN,W 37-30,37,30,7,67,2019,2019_13_SEA_MIN
MIA,2019-12-01,37,Sun,12,13,,PHI,W 37-31,37,31,6,68,2019,2019_13_MIA_PHI
SFO,2019-11-24,37,Sun,11,12,,GNB,W 37-8,37,8,29,45,2019,2019_12_SFO_GNB
BUF,2019-11-17,37,Sun,10,11,@,MIA,W 37-20,37,20,17,57,2019,2019_11_BUF_MIA
DAL,2019-11-04,37,Mon,8,9,@,NYG,W 37-18,37,18,19,55,2019,2019_09_DAL_NYG
BAL,2019-11-03,37,Sun,8,9,,NWE,W 37-20,37,20,17,57,2019,2019_09_BAL_NWE
LAR,2019-10-20,37,Sun,7,7,@,ATL,W 37-10,37,10,27,47,2019,2019_07_LAR_ATL
DAL,2019-10-20,37,Sun,7,7,,PHI,W 37-10,37,10,27,47,2019,2019_07_DAL_PHI
CAR,2019-10-13,37,Sun,6,6,@,TAM,W 37-26,37,26,11,63,2019,2019_06_CAR_TAM
KAN,2018-11-04,37,Sun,9,9,@,CLE,W 37-21,37,21,16,58,2018,2018_09_KAN_CLE
CIN,2018-10-28,37,Sun,8,8,,TAM,W 37-34,37,34,3,71,2018,2018_08_CIN_TAM
MIN,2018-10-21,37,Sun,7,7,@,NYJ,W 37-17,37,17,20,54,2018,2018_07_MIN_NYJ
IND,2018-10-21,37,Sun,7,7,,BUF,W 37-5,37,5,32,42,2018,2018_07_IND_BUF
CIN,2018-09-30,37,Sun,4,4,@,ATL,W 37-36,37,36,1,73,2018,2018_04_CIN_ATL
HOU,2018-09-30,37,Sun,4,4,@,IND,W 37-34 (OT),37,34,3,71,2018,2018_04_HOU_IND
ATL,2018-09-23,37,Sun,3,3,,NOR,L 37-43 (OT),37,43,-6,80,2018,2018_03_ATL_NOR
PIT,2018-09-16,37,Sun,2,2,,KAN,L 37-42,37,42,-5,79,2018,2018_02_PIT_KAN
NWE,2017-12-24,37,Sun,15,16,,BUF,W 37-16,37,16,21,53,2017,2017_16_NWE_BUF
PHI,2017-11-19,37,Sun,10,11,@,DAL,W 37-9,37,9,28,46,2017,2017_11_PHI_DAL
TEN,2017-09-17,37,Sun,2,2,@,JAX,W 37-16,37,16,21,53,2017,2017_02_TEN_JAX
IND,2022-12-17,36,Sat,14,15,@,MIN,L 36-39 (OT),36,39,-3,75,2022,2022_15_IND_MIN
JAX,2022-12-11,36,Sun,13,14,@,TEN,W 36-22,36,22,14,58,2022,2022_14_JAX_TEN
DET,2022-09-18,36,Sun,2,2,,WAS,W 36-27,36,27,9,63,2022,2022_02_DET_WAS
KAN,2021-12-26,36,Sun,15,16,,PIT,W 36-10,36,10,26,46,2021,2021_16_KAN_PIT
MIN,2021-12-09,36,Thu,13,14,,PIT,W 36-28,36,28,8,64,2021,2021_14_MIN_PIT
NWE,2021-11-28,36,Sun,12,12,,TEN,W 36-13,36,13,23,49,2021,2021_12_NWE_TEN
GNB,2021-11-28,36,Sun,12,12,,LAR,W 36-28,36,28,8,64,2021,2021_12_GNB_LAR
LVR,2021-11-25,36,Thu,11,12,@,DAL,W 36-33 (OT),36,33,3,69,2021,2021_12_LVR_DAL
NOR,2021-10-31,36,Sun,7,8,,TAM,W 36-27,36,27,9,63,2021,2021_08_NOR_TAM
DAL,2021-10-03,36,Sun,4,4,,CAR,W 36-28,36,28,8,64,2021,2021_04_DAL_CAR
BAL,2021-09-19,36,Sun,2,2,,KAN,W 36-35,36,35,1,71,2021,2021_02_BAL_KAN
CHI,2020-12-13,36,Sun,13,14,,HOU,W 36-7,36,7,29,43,2020,2020_14_CHI_HOU
PIT,2020-11-15,36,Sun,9,10,,CIN,W 36-10,36,10,26,46,2020,2020_10_PIT_CIN
HOU,2020-10-18,36,Sun,6,6,@,TEN,L 36-42 (OT),36,42,-6,78,2020,2020_06_HOU_TEN
NWE,2020-09-27,36,Sun,3,3,,LVR,W 36-20,36,20,16,56,2020,2020_03_NWE_LVR
SFO,2020-09-27,36,Sun,3,3,@,NYG,W 36-9,36,9,27,45,2020,2020_03_SFO_NYG
IND,2020-09-27,36,Sun,3,3,,NYJ,W 36-7,36,7,29,43,2020,2020_03_IND_NYJ
NYG,2019-12-15,36,Sun,14,15,,MIA,W 36-20,36,20,16,56,2019,2019_15_NYG_MIA
SFO,2019-11-17,36,Sun,10,11,,ARI,W 36-26,36,26,10,62,2019,2019_11_SFO_ARI
NOR,2019-10-20,36,Sun,7,7,@,CHI,W 36-25,36,25,11,61,2019,2019_07_NOR_CHI
DAL,2018-12-30,36,Sun,16,17,@,NYG,W 36-35,36,35,1,71,2018,2018_17_DAL_NYG
LAR,2018-11-11,36,Sun,10,10,,SEA,W 36-31,36,31,5,67,2018,2018_10_LAR_SEA
CAR,2018-10-28,36,Sun,7,8,,BAL,W 36-21,36,21,15,57,2018,2018_08_CAR_BAL
ATL,2018-09-30,36,Sun,4,4,,CIN,L 36-37,36,37,-1,73,2018,2018_04_ATL_CIN
TEN,2017-10-16,36,Mon,6,6,,IND,W 36-22,36,22,14,58,2017,2017_06_TEN_IND
NWE,2017-09-24,36,Sun,3,3,,HOU,W 36-33,36,33,3,69,2017,2017_03_NWE_HOU
NWE,2017-09-17,36,Sun,2,2,@,NOR,W 36-20,36,20,16,56,2017,2017_02_NWE_NOR
BUF,2023-01-08,35,Sun,16,18,,NWE,W 35-23,35,23,12,58,2022,2022_18_BUF_NWE
BUF,2022-12-24,35,Sat,15,16,@,CHI,W 35-13,35,13,22,48,2022,2022_16_BUF_CHI
SFO,2022-12-11,35,Sun,13,14,,TAM,W 35-7,35,7,28,42,2022,2022_14_SFO_TAM
PHI,2022-12-04,35,Sun,12,13,,TEN,W 35-10,35,10,25,45,2022,2022_13_PHI_TEN
MIA,2022-11-06,35,Sun,9,9,@,CHI,W 35-32,35,32,3,67,2022,2022_09_MIA_CHI
PHI,2022-10-30,35,Sun,7,8,,PIT,W 35-13,35,13,22,48,2022,2022_08_PHI_PIT
CIN,2022-10-23,35,Sun,7,7,,ATL,W 35-17,35,17,18,52,2022,2022_07_CIN_ATL
DET,2022-09-11,35,Sun,1,1,,PHI,L 35-38,35,38,-3,73,2022,2022_01_DET_PHI
LVR,2022-01-09,35,Sun,17,18,,LAC,W 35-32 (OT),35,32,3,67,2021,2021_18_LVR_LAC
DAL,2021-10-17,35,Sun,6,6,@,NWE,W 35-29 (OT),35,29,6,64,2021,2021_06_DAL_NWE
GNB,2021-09-20,35,Mon,2,2,,DET,W 35-17,35,17,18,52,2021,2021_02_GNB_DET
BUF,2021-09-19,35,Sun,2,2,@,MIA,W 35-0,35,0,35,35,2021,2021_02_BUF_MIA
KAN,2021-09-19,35,Sun,2,2,@,BAL,L 35-36,35,36,-1,71,2021,2021_02_KAN_BAL
GNB,2021-01-03,35,Sun,16,17,@,CHI,W 35-16,35,16,19,51,2020,2020_17_GNB_CHI
DET,2021-01-03,35,Sun,16,17,,MIN,L 35-37,35,37,-2,72,2020,2020_17_DET_MIN
TEN,2020-12-06,35,Sun,12,13,,CLE,L 35-41,35,41,-6,76,2020,2020_13_TEN_CLE
KAN,2020-11-22,35,Sun,10,11,@,LVR,W 35-31,35,31,4,66,2020,2020_11_KAN_LVR
KAN,2020-11-01,35,Sun,8,8,,NYJ,W 35-9,35,9,26,44,2020,2020_08_KAN_NYJ
GNB,2020-10-25,35,Sun,6,7,@,HOU,W 35-20,35,20,15,55,2020,2020_07_GNB_HOU
NOR,2020-10-04,35,Sun,4,4,@,DET,W 35-29,35,29,6,64,2020,2020_04_NOR_DET
BUF,2020-09-27,35,Sun,3,3,,LAR,W 35-32,35,32,3,67,2020,2020_03_BUF_LAR
SEA,2020-09-20,35,Sun,2,2,,NWE,W 35-30,35,30,5,65,2020,2020_02_SEA_NWE
CLE,2020-09-17,35,Thu,2,2,,CIN,W 35-30,35,30,5,65,2020,2020_02_CLE_CIN
TEN,2019-12-29,35,Sun,16,17,@,HOU,W 35-14,35,14,21,49,2019,2019_17_TEN_HOU
CIN,2019-12-22,35,Sun,15,16,@,MIA,L 35-38 (OT),35,38,-3,73,2019,2019_16_CIN_MIA
WAS,2019-12-22,35,Sun,15,16,,NYG,L 35-41 (OT),35,41,-6,76,2019,2019_16_WAS_NYG
IND,2019-12-08,35,Sun,13,14,@,TAM,L 35-38,35,38,-3,73,2019,2019_14_IND_TAM
TAM,2019-11-24,35,Sun,11,12,@,ATL,W 35-22,35,22,13,57,2019,2019_12_TAM_ATL
DAL,2019-11-17,35,Sun,10,11,@,DET,W 35-27,35,27,8,62,2019,2019_11_DAL_DET
TEN,2019-11-10,35,Sun,10,10,,KAN,W 35-32,35,32,3,67,2019,2019_10_TEN_KAN
NWE,2019-10-10,35,Thu,6,6,,NYG,W 35-14,35,14,21,49,2019,2019_06_NWE_NYG
DAL,2019-09-08,35,Sun,1,1,,NYG,W 35-17,35,17,18,52,2019,2019_01_DAL_NYG
KAN,2018-12-30,35,Sun,16,17,,OAK,W 35-3,35,3,32,38,2018,2018_17_KAN_OAK
NYG,2018-12-30,35,Sun,16,17,,DAL,L 35-36,35,36,-1,71,2018,2018_17_NYG_DAL
CLE,2018-11-25,35,Sun,11,12,@,CIN,W 35-20,35,20,15,55,2018,2018_12_CLE_CIN
TAM,2018-11-18,35,Sun,10,11,@,NYG,L 35-38,35,38,-3,73,2018,2018_11_TAM_NYG
LAR,2018-11-04,35,Sun,9,9,@,NOR,L 35-45,35,45,-10,80,2018,2018_09_LAR_NOR
LAR,2018-09-23,35,Sun,3,3,,LAC,W 35-23,35,23,12,58,2018,2018_03_LAR_LAC
DET,2017-12-31,35,Sun,16,17,,GNB,W 35-11,35,11,24,46,2017,2017_17_DET_GNB
LAR,2017-12-10,35,Sun,13,14,,PHI,L 35-43,35,43,-8,78,2017,2017_14_LAR_PHI
MIA,2017-12-03,35,Sun,12,13,,DEN,W 35-9,35,9,26,44,2017,2017_13_MIA_DEN
NWE,2017-11-26,35,Sun,11,12,,MIA,W 35-17,35,17,18,52,2017,2017_12_NWE_MIA
CAR,2017-11-26,35,Sun,11,12,@,NYJ,W 35-27,35,27,8,62,2017,2017_12_CAR_NYJ
GNB,2017-10-08,35,Sun,5,5,@,DAL,W 35-31,35,31,4,66,2017,2017_05_GNB_DAL
LAR,2017-10-01,35,Sun,4,4,@,DAL,W 35-30,35,30,5,65,2017,2017_04_LAR_DAL
GNB,2017-09-28,35,Thu,4,4,,CHI,W 35-14,35,14,21,49,2017,2017_04_GNB_CHI
DET,2017-09-10,35,Sun,1,1,,ARI,W 35-23,35,23,12,58,2017,2017_01_DET_ARI
LVR,2023-01-01,34,Sun,16,17,,SFO,L 34-37 (OT),34,37,-3,71,2022,2022_17_LVR_SFO
PHI,2022-12-24,34,Sat,15,16,@,DAL,L 34-40,34,40,-6,74,2022,2022_16_PHI_DAL
DAL,2022-12-18,34,Sun,14,15,@,JAX,L 34-40 (OT),34,40,-6,74,2022,2022_15_DAL_JAX
CIN,2022-12-18,34,Sun,14,15,@,TAM,W 34-23,34,23,11,57,2022,2022_15_CIN_TAM
KAN,2022-12-11,34,Sun,13,14,@,DEN,W 34-28,34,28,6,62,2022,2022_14_KAN_DEN
DET,2022-12-11,34,Sun,13,14,,MIN,W 34-23,34,23,11,57,2022,2022_14_DET_MIN
SEA,2022-11-27,34,Sun,11,12,,LVR,L 34-40 (OT),34,40,-6,74,2022,2022_12_SEA_LVR
CAR,2022-10-30,34,Sun,8,8,@,ATL,L 34-37 (OT),34,37,-3,71,2022,2022_08_CAR_ATL
MIN,2022-10-30,34,Sun,7,8,,ARI,W 34-26,34,26,8,60,2022,2022_08_MIN_ARI
NOR,2022-10-20,34,Thu,7,7,@,ARI,L 34-42,34,42,-8,76,2022,2022_07_NOR_ARI
IND,2022-10-16,34,Sun,6,6,,JAX,W 34-27,34,27,7,61,2022,2022_06_IND_JAX
LAC,2022-10-02,34,Sun,4,4,@,HOU,W 34-24,34,24,10,58,2022,2022_04_LAC_HOU
TEN,2022-01-02,34,Sun,16,17,,MIA,W 34-3,34,3,31,37,2021,2021_17_TEN_MIA
CIN,2022-01-02,34,Sun,16,17,,KAN,W 34-31,34,31,3,65,2021,2021_17_CIN_KAN
LAC,2022-01-02,34,Sun,16,17,,DEN,W 34-13,34,13,21,47,2021,2021_17_LAC_DEN
PHI,2021-12-26,34,Sun,15,16,,NYG,W 34-10,34,10,24,44,2021,2021_16_PHI_NYG
KAN,2021-12-16,34,Thu,14,15,@,LAC,W 34-28 (OT),34,28,6,62,2021,2021_15_KAN_LAC
SFO,2021-11-28,34,Sun,11,12,,MIN,W 34-26,34,26,8,60,2021,2021_12_SFO_MIN
MIN,2021-11-21,34,Sun,10,11,,GNB,W 34-31,34,31,3,65,2021,2021_11_MIN_GNB
CAR,2021-11-14,34,Sun,10,10,@,ARI,W 34-10,34,10,24,44,2021,2021_10_CAR_ARI
BAL,2021-11-07,34,Sun,8,9,,MIN,W 34-31 (OT),34,31,3,65,2021,2021_09_BAL_MIN
TEN,2021-10-31,34,Sun,8,8,@,IND,W 34-31 (OT),34,31,3,65,2021,2021_08_TEN_IND
TEN,2021-10-31,34,Sun,8,8,@,IND,W 34-31 (OT),34,31,3,65,2021,2021_08_TEN_IND
TEN,2021-10-18,34,Mon,6,6,,BUF,W 34-31,34,31,3,65,2021,2021_06_TEN_BUF
BAL,2021-10-17,34,Sun,6,6,,LAC,W 34-6,34,6,28,40,2021,2021_06_BAL_LAC
MIN,2021-10-17,34,Sun,6,6,@,CAR,W 34-28 (OT),34,28,6,62,2021,2021_06_MIN_CAR
CIN,2021-10-17,34,Sun,6,6,@,DET,W 34-11,34,11,23,45,2021,2021_06_CIN_DET
LVR,2021-10-17,34,Sun,6,6,@,DEN,W 34-24,34,24,10,58,2021,2021_06_LVR_DEN
WAS,2021-10-03,34,Sun,4,4,@,ATL,W 34-30,34,30,4,64,2021,2021_04_WAS_ATL
LAR,2021-09-26,34,Sun,3,3,,TAM,W 34-24,34,24,10,58,2021,2021_03_LAR_TAM
ARI,2021-09-19,34,Sun,2,2,,MIN,W 34-33,34,33,1,67,2021,2021_02_ARI_MIN
LAR,2021-09-12,34,Sun,1,1,,CHI,W 34-14,34,14,20,48,2021,2021_01_LAR_CHI
BAL,2020-12-08,34,Tue,12,13,,DAL,W 34-17,34,17,17,51,2020,2020_13_BAL_DAL
BUF,2020-12-07,34,Mon,12,13,@,SFO,W 34-24,34,24,10,58,2020,2020_13_BUF_SFO
DET,2020-12-06,34,Sun,12,13,@,CHI,W 34-30,34,30,4,64,2020,2020_13_DET_CHI
IND,2020-11-22,34,Sun,10,11,,GNB,W 34-31 (OT),34,31,3,65,2020,2020_11_IND_GNB
LAC,2020-11-22,34,Sun,10,11,,NYJ,W 34-28,34,28,6,62,2020,2020_11_LAC_NYJ
IND,2020-11-12,34,Thu,9,10,@,TEN,W 34-17,34,17,17,51,2020,2020_10_IND_TEN
MIA,2020-11-08,34,Sun,8,9,@,ARI,W 34-31,34,31,3,65,2020,2020_09_MIA_ARI
ATL,2020-11-08,34,Sun,9,9,,DEN,W 34-27,34,27,7,61,2020,2020_09_ATL_DEN
MIN,2020-11-08,34,Sun,8,9,,DET,W 34-20,34,20,14,54,2020,2020_09_MIN_DET
SEA,2020-11-08,34,Sun,8,9,@,BUF,L 34-44,34,44,-10,78,2020,2020_09_SEA_BUF
GNB,2020-11-05,34,Thu,8,9,@,SFO,W 34-17,34,17,17,51,2020,2020_09_GNB_SFO
SEA,2020-10-25,34,Sun,6,7,@,ARI,L 34-37 (OT),34,37,-3,71,2020,2020_07_SEA_ARI
CIN,2020-10-25,34,Sun,7,7,,CLE,L 34-37,34,37,-3,71,2020,2020_07_CIN_CLE
DET,2020-10-18,34,Sun,5,6,@,JAX,W 34-16,34,16,18,50,2020,2020_06_DET_JAX
NYG,2020-10-11,34,Sun,5,5,@,DAL,L 34-37,34,37,-3,71,2020,2020_05_NYG_DAL
KAN,2020-09-28,34,Mon,3,3,@,BAL,W 34-20,34,20,14,54,2020,2020_03_KAN_BAL
CLE,2020-09-27,34,Sun,3,3,,WAS,W 34-20,34,20,14,54,2020,2020_03_CLE_WAS
LVR,2020-09-21,34,Mon,2,2,,NOR,W 34-24,34,24,10,58,2020,2020_02_LVR_NOR
MIN,2020-09-13,34,Sun,1,1,,GNB,L 34-43,34,43,-9,77,2020,2020_01_MIN_GNB
NOR,2020-09-13,34,Sun,1,1,,TAM,W 34-23,34,23,11,57,2020,2020_01_NOR_TAM
LVR,2020-09-13,34,Sun,1,1,@,CAR,W 34-30,34,30,4,64,2020,2020_01_LVR_CAR
KAN,2020-09-10,34,Thu,1,1,,HOU,W 34-20,34,20,14,54,2020,2020_01_KAN_HOU
PHI,2019-12-29,34,Sun,16,17,@,NYG,W 34-17,34,17,17,51,2019,2019_17_PHI_NYG
SFO,2019-12-21,34,Sat,15,16,,LAR,W 34-31,34,31,3,65,2019,2019_16_SFO_LAR
NOR,2019-12-16,34,Mon,14,15,,IND,W 34-7,34,7,27,41,2019,2019_15_NOR_IND
NWE,2019-12-15,34,Sun,14,15,@,CIN,W 34-13,34,13,21,47,2019,2019_15_NWE_CIN
LAR,2019-12-01,34,Sun,12,13,@,ARI,W 34-7,34,7,27,41,2019,2019_13_LAR_ARI
NYJ,2019-11-24,34,Sun,11,12,,OAK,W 34-3,34,3,31,37,2019,2019_12_NYJ_OAK
NOR,2019-11-24,34,Sun,11,12,,CAR,W 34-31,34,31,3,65,2019,2019_12_NOR_CAR
NOR,2019-11-17,34,Sun,10,11,@,TAM,W 34-17,34,17,17,51,2019,2019_11_NOR_TAM
NYJ,2019-11-17,34,Sun,10,11,@,WAS,W 34-17,34,17,17,51,2019,2019_11_NYJ_WAS
NYJ,2019-11-10,34,Sun,9,10,,NYG,W 34-27,34,27,7,61,2019,2019_10_NYJ_NYG
TAM,2019-11-03,34,Sun,8,9,@,SEA,L 34-40 (OT),34,40,-6,74,2019,2019_09_TAM_SEA
ARI,2019-10-13,34,Sun,6,6,,ATL,W 34-33,34,33,1,67,2019,2019_06_ARI_ATL
CAR,2019-10-06,34,Sun,5,5,,JAX,W 34-27,34,27,7,61,2019,2019_05_CAR_JAX
GNB,2019-10-06,34,Sun,5,5,@,DAL,W 34-24,34,24,10,58,2019,2019_05_GNB_DAL
KAN,2019-09-29,34,Sun,4,4,@,DET,W 34-30,34,30,4,64,2019,2019_04_KAN_DET
PHI,2019-09-26,34,Thu,4,4,@,GNB,W 34-27,34,27,7,61,2019,2019_04_PHI_GNB
MIN,2019-09-22,34,Sun,3,3,,OAK,W 34-14,34,14,20,48,2019,2019_03_MIN_OAK
ATL,2018-12-30,34,Sun,16,17,@,TAM,W 34-32,34,32,2,66,2018,2018_17_ATL_TAM
MIA,2018-12-09,34,Sun,13,14,,NWE,W 34-33,34,33,1,67,2018,2018_14_MIA_NWE
GNB,2018-12-09,34,Sun,13,14,,ATL,W 34-20,34,20,14,54,2018,2018_14_GNB_ATL
HOU,2018-11-26,34,Mon,11,12,,TEN,W 34-17,34,17,17,51,2018,2018_12_HOU_TEN
BAL,2018-11-25,34,Sun,11,12,,OAK,W 34-17,34,17,17,51,2018,2018_12_BAL_OAK
TEN,2018-11-11,34,Sun,9,10,,NWE,W 34-10,34,10,24,44,2018,2018_10_TEN_NWE
CHI,2018-11-11,34,Sun,9,10,,DET,W 34-22,34,22,12,56,2018,2018_10_CHI_DET
SFO,2018-11-01,34,Thu,9,9,,OAK,W 34-3,34,3,31,37,2018,2018_09_SFO_OAK
TAM,2018-10-28,34,Sun,7,8,@,CIN,L 34-37,34,37,-3,71,2018,2018_08_TAM_CIN
IND,2018-10-14,34,Sun,6,6,@,NYJ,L 34-42,34,42,-8,76,2018,2018_06_IND_NYJ
ATL,2018-10-14,34,Sun,6,6,,TAM,W 34-29,34,29,5,63,2018,2018_06_ATL_TAM
PHI,2018-10-11,34,Thu,6,6,@,NYG,W 34-13,34,13,21,47,2018,2018_06_PHI_NYG
NYJ,2018-10-07,34,Sun,5,5,,DEN,W 34-16,34,16,18,50,2018,2018_05_NYJ_DEN
IND,2018-09-30,34,Sun,4,4,,HOU,L 34-37 (OT),34,37,-3,71,2018,2018_04_IND_HOU
LAR,2018-09-16,34,Sun,2,2,,ARI,W 34-0,34,0,34,34,2018,2018_02_LAR_ARI
CIN,2018-09-13,34,Thu,2,2,,BAL,W 34-23,34,23,11,57,2018,2018_02_CIN_BAL
CIN,2018-09-09,34,Sun,1,1,@,IND,W 34-23,34,23,11,57,2018,2018_01_CIN_IND
SFO,2017-12-31,34,Sun,16,17,@,LAR,W 34-13,34,13,21,47,2017,2017_17_SFO_LAR
PIT,2017-12-25,34,Mon,15,16,@,HOU,W 34-6,34,6,28,40,2017,2017_16_PIT_HOU
PHI,2017-12-17,34,Sun,14,15,@,NYG,W 34-29,34,29,5,63,2017,2017_15_PHI_NYG
MIN,2017-12-17,34,Sun,14,15,,CIN,W 34-7,34,7,27,41,2017,2017_15_MIN_CIN
ATL,2017-11-26,34,Sun,11,12,,TAM,W 34-20,34,20,14,54,2017,2017_12_ATL_TAM
ATL,2017-11-20,34,Mon,10,11,@,SEA,W 34-31,34,31,3,65,2017,2017_11_ATL_SEA
NOR,2017-11-19,34,Sun,10,11,,WAS,W 34-31 (OT),34,31,3,65,2017,2017_11_NOR_WAS
NYJ,2017-11-02,34,Thu,9,9,,BUF,W 34-21,34,21,13,55,2017,2017_09_NYJ_BUF
BUF,2017-10-29,34,Sun,7,8,,OAK,W 34-14,34,14,20,48,2017,2017_08_BUF_OAK
PHI,2017-10-23,34,Mon,7,7,,WAS,W 34-24,34,24,10,58,2017,2017_07_PHI_WAS
HOU,2017-10-08,34,Sun,5,5,,KAN,L 34-42,34,42,-8,76,2017,2017_05_HOU_KAN
PHI,2017-10-08,34,Sun,5,5,,ARI,W 34-7,34,7,27,41,2017,2017_05_PHI_ARI
NOR,2017-09-24,34,Sun,3,3,@,CAR,W 34-13,34,13,21,47,2017,2017_03_NOR_CAR
MIN,2017-09-24,34,Sun,3,3,,TAM,W 34-17,34,17,17,51,2017,2017_03_MIN_TAM
ATL,2017-09-17,34,Sun,2,2,,GNB,W 34-23,34,23,11,57,2017,2017_02_ATL_GNB
SFO,2022-12-04,33,Sun,12,13,,MIA,W 33-17,33,17,16,50,2022,2022_13_SFO_MIA
GNB,2022-11-27,33,Sun,12,12,@,PHI,L 33-40,33,40,-7,73,2022,2022_12_GNB_PHI
MIN,2022-11-24,33,Thu,11,12,,NWE,W 33-26,33,26,7,59,2022,2022_12_MIN_NWE
