Team,Date,Pen,Day,G#,Week,,Opp,Result,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,Season,game_id
SEA,2017-09-24,11,Sun,3,3,@,TEN,L 27-33,11,98,5,45,16,143,2017,2017_03_SEA_TEN
IND,2017-09-24,11,Sun,3,3,,CLE,W 31-28,11,99,10,113,21,212,2017,2017_03_IND_CLE
MIN,2017-09-17,11,Sun,2,2,@,PIT,L 9-26,11,131,10,72,21,203,2017,2017_02_MIN_PIT
CLE,2017-09-17,11,Sun,2,2,@,BAL,L 10-24,11,65,7,45,18,110,2017,2017_02_CLE_BAL
BAL,2017-09-10,11,Sun,1,1,@,CIN,W 20-0,11,85,9,66,20,151,2017,2017_01_BAL_CIN
TEN,2022-12-29,10,Thu,16,17,,DAL,L 13-27,10,124,3,35,13,159,2022,2022_17_TEN_DAL
NWE,2022-12-24,10,Sat,15,16,,CIN,L 18-22,10,82,8,62,18,144,2022,2022_16_NWE_CIN
CAR,2022-12-24,10,Sat,15,16,,DET,W 37-23,10,74,4,30,14,104,2022,2022_16_CAR_DET
KAN,2022-12-18,10,Sun,14,15,@,HOU,W 30-24 (OT),10,102,4,33,14,135,2022,2022_15_KAN_HOU
BAL,2022-11-20,10,Sun,10,11,,CAR,W 13-3,10,93,9,66,19,159,2022,2022_11_BAL_CAR
LVR,2022-11-13,10,Sun,9,10,,IND,L 20-25,10,74,4,25,14,99,2022,2022_10_LVR_IND
NOR,2022-11-13,10,Sun,10,10,@,PIT,L 10-20,10,74,3,40,13,114,2022,2022_10_NOR_PIT
ARI,2022-11-13,10,Sun,10,10,@,LAR,W 27-17,10,67,5,29,15,96,2022,2022_10_ARI_LAR
CAR,2022-11-10,10,Thu,10,10,,ATL,W 25-15,10,89,4,37,14,126,2022,2022_10_CAR_ATL
KAN,2022-11-06,10,Sun,8,9,,TEN,W 20-17 (OT),10,69,8,51,18,120,2022,2022_09_KAN_TEN
MIN,2022-10-30,10,Sun,7,8,,ARI,W 34-26,10,86,10,67,20,153,2022,2022_08_MIN_ARI
ARI,2022-10-30,10,Sun,8,8,@,MIN,L 26-34,10,67,10,86,20,153,2022,2022_08_ARI_MIN
SFO,2022-10-23,10,Sun,7,7,,KAN,L 23-44,10,80,8,84,18,164,2022,2022_07_SFO_KAN
DEN,2022-10-17,10,Mon,6,6,@,LAC,L 16-19 (OT),10,151,9,89,19,240,2022,2022_06_DEN_LAC
MIA,2022-10-16,10,Sun,6,6,,MIN,L 16-24,10,97,2,20,12,117,2022,2022_06_MIA_MIN
BAL,2022-10-16,10,Sun,6,6,@,NYG,L 20-24,10,74,3,25,13,99,2022,2022_06_BAL_NYG
DAL,2022-10-16,10,Sun,6,6,@,PHI,L 17-26,10,72,2,10,12,82,2022,2022_06_DAL_PHI
NOR,2022-10-02,10,Sun,4,4,,MIN,L 25-28,10,102,5,35,15,137,2022,2022_04_NOR_MIN
LVR,2022-09-18,10,Sun,2,2,,ARI,L 23-29 (OT),10,68,12,120,22,188,2022,2022_02_LVR_ARI
SEA,2022-09-18,10,Sun,2,2,@,SFO,L 7-27,10,106,1,26,11,132,2022,2022_02_SEA_SFO
PHI,2022-09-11,10,Sun,1,1,@,DET,W 38-35,10,61,7,65,17,126,2022,2022_01_PHI_DET
DAL,2022-09-11,10,Sun,1,1,,TAM,L 3-19,10,73,5,25,15,98,2022,2022_01_DAL_TAM
LAC,2022-01-09,10,Sun,17,18,@,LVR,L 32-35 (OT),10,108,4,38,14,146,2021,2021_18_LAC_LVR
